01/04/2024, 22:06
Project Statistics

                 	Segments	Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	    2764	20372	                 112846	                130652	   180	
Remaining:       	    2521	20177	                 110738	                128366	   100	
Unique:          	    1910	16991	                  91684	                106687	    89	
Unique Remaining:	    1902	16946	                  91441	                106406	    89	


Individual File Statistics:

File Name                                  	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
_includes/omt-rec-tags.md                  	             7	                 3	              2	                        2	         13	             13	          13	                    13	                          109	                               89	                            80	                                      80	                         120	                             100	                           91	                                     91	
_includes/omt-reps.md                      	            49	                49	             41	                       41	        586	            586	         585	                   585	                         3376	                             3376	                          3306	                                    3306	                        3916	                            3916	                         3846	                                   3846	
_includes/omt-tag-insert.md                	            16	                16	             12	                       12	        157	            157	         149	                   149	                          830	                              830	                           763	                                     763	                         969	                             969	                          897	                                    897	
_includes/omt-tag-intro.md                 	            11	                11	             11	                       11	        126	            126	         126	                   126	                          607	                              607	                           607	                                     607	                         724	                             724	                          724	                                    724	
_includes/omt-tag-iss.md                   	            16	                16	             14	                       14	        202	            202	         202	                   202	                          957	                              957	                           939	                                     939	                        1145	                            1145	                         1127	                                   1127	
_includes/omt-tag-recog.md                 	            13	                13	             11	                       11	        221	            221	         221	                   221	                         1220	                             1220	                          1202	                                    1202	                        1444	                            1444	                         1426	                                   1426	
_includes/omt-tags-com.md                  	             3	                 3	              1	                        1	         16	             16	           4	                     4	                           80	                               80	                            18	                                      18	                          94	                              94	                           21	                                     21	
_includes/omt-targets.md                   	             7	                 7	              6	                        6	         73	             73	          73	                    73	                          369	                              369	                           360	                                     360	                         434	                             434	                          425	                                    425	
_includes/omt-tra-tags.md                  	             6	                 3	              0	                        0	         13	             13	           0	                     0	                          104	                               89	                             0	                                       0	                         115	                             100	                            0	                                      0	
_includes/omt-unpack-and-recent.md         	            79	                79	             69	                       69	        852	            852	         848	                   848	                         4441	                             4441	                          4369	                                    4369	                        5207	                            5207	                         5135	                                   5135	
_includes/omt-ver-tags.md                  	             7	                 3	              0	                        0	         13	             13	           0	                     0	                          109	                               89	                             0	                                       0	                         120	                             100	                            0	                                      0	
_includes/omt61-inst-setup.md              	            63	                62	             51	                       51	        529	            529	         517	                   517	                         2883	                             2878	                          2732	                                    2732	                        3355	                            3350	                         3193	                                   3193	
_includes/preview-in-microsoft-word.md     	             6	                 6	              5	                        5	         94	             94	          83	                    83	                          447	                              447	                           397	                                     397	                         533	                             533	                          473	                                    473	
_includes/preview.md                       	             2	                 1	              1	                        1	          1	              1	           1	                     1	                           12	                                7	                             7	                                       7	                          12	                               7	                            7	                                      7	
_includes/user-id.md                       	             9	                 9	              8	                        8	        113	            113	         113	                   113	                          570	                              570	                           561	                                     561	                         674	                             674	                          665	                                    665	
adaptation/accessing-the-project.md        	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
adaptation/creating-target-files.md        	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
adaptation/creating-your-deliverable.md    	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
adaptation/glossary.md                     	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
adaptation/hidden.md                       	             2	                 2	              2	                        2	          6	              6	           6	                     6	                           24	                               24	                            24	                                      24	                          28	                              28	                           28	                                     28	
adaptation/index.md                        	             5	                 2	              4	                        2	         54	             24	          54	                    24	                          253	                              100	                           248	                                     100	                         304	                             123	                          299	                                    123	
adaptation/install-and-setup-macos.md      	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
adaptation/install-and-setup.md            	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
adaptation/matches.md                      	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
adaptation/navigation.md                   	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
adaptation/other-useful-features.md        	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
adaptation/qa-checks.md                    	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
adaptation/repetitions.md                  	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
adaptation/shortcuts.md                    	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
adaptation/tags.md                         	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
editing/.meta.yml                          	             4	                 4	              4	                        4	          4	              4	           4	                     4	                           39	                               39	                            39	                                      39	                          39	                              39	                           39	                                     39	
editing/accessing-the-project.md           	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
editing/creating-target-files.md           	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
editing/creating-your-deliverable.md       	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
editing/glossary.md                        	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
editing/hidden.md                          	             2	                 2	              0	                        0	          6	              6	           0	                     0	                           24	                               24	                             0	                                       0	                          28	                              28	                            0	                                      0	
editing/index.md                           	             5	                 2	              1	                        1	         54	             24	           6	                     6	                          255	                              102	                            37	                                      37	                         306	                             125	                           43	                                     43	
editing/install-and-setup-macos.md         	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
editing/install-and-setup.md               	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
editing/matches.md                         	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
editing/navigation.md                      	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
editing/other-useful-features.md           	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
